127.0.0.1 - - [23/Jul/2020:21:40:00 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:40:01 -0800] "GET /MVCFairCharge/ HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:40:01 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:55 -0800] "GET /MVCFairCharge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:55 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:57 -0800] "GET /MVCFairCharge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:57 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:58 -0800] "GET /MVCFairCharge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:42:58 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:43:38 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:43:38 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:10 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:10 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:12 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:12 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:13 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:13 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/bootstrap.min.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jul/2020:21:47:14 -0800] "GET /MVCFairCharge/index.html HTTP/1.1" 304 -
